ID,STAR,PERIOD,V_INTMEAN,BV_INTMEAN,EBV,V_AMPL,MV,DIST,Z,RV_MEAN,RADIUS BIN  1H?,NOTES

1,U Aql,7.023958,6.446,1.024,0.399,0.757,-3.66,594,-120,-5.8,54.7  O C,IUE
2,SZ Aql,17.140849,8.599,1.389,0.641,1.163,-4.78,1898,-77,10.5,113.8,
3,TT Aql,13.754707,7.141,1.292,0.495,1.082,-4.51,1055,-58,1.9,95.8,
4,FF Aql,4.470916,5.372,0.756,0.224,0.321,-3.55,441,49,-19.4,O    s,
5,FM Aql,6.11423,8.27,1.277,0.646,0.724,-3.48,890,14,-7,53.8,
6,FN Aql,9.481603,8.382,1.214,0.51,0.564,-4.04,1473,-80,13.1,,
7,IU Aql,22,,,,,-5.1,,,,,
8,V336 Aql,7.303976,9.848,1.312,0.644,0.742,-3.71,2053,-77,11.5,,
9,V493 Aql,2.987751,11.083,1.28,0.684,0.494,-2.58,2024,-58,,,
10,V496 Aql,6.807055,7.751,1.146,0.413,0.349,-3.62,1043,-129,7.9,45.5,
11,V526 Aql,4.2112,12.708,1.509,0.983,1.188,-3.02,3437,-130,,,
12,V600 Aql,7.238748,10.037,1.462,0.869,0.677,-3.7,1617,-74,3.1,,
13,V800 Aql,20.065,,,,,-4.98,,,,,new ceph
14,V912 Aql,4.40034,,,,,-3.07,,,,,
15,V916 Aql,13.44155,10.785,1.781,1.089,0.942,-4.48,2387,68,16.8,,
16,V1162Aql,5.3761,7.798,1.366,0.205,0.267,-3.32,1249,-398,12.7,,
17,V1183Aql,3.288265,,,,,-2.7,,,,,
18,V1344Aql,7.47803,7.767,1.366,0.574,0.267,-3.74,882,-40,,,
19,V1359Aql,7.78,9.059,1.35,0.694,0.057,-3.79,1378,-417,,,new period
20,Eta Aql,7.176735,3.897,0.789,0.149,0.799,-3.69,266,-60,-14.8,54.9   C,IUE
21,V340 Ara,20.809,10.164,1.539,0.574,1.146,-5.03,4819,-315,-82.2,,
22,V475 Ara,1.5012,,,,,-1.72,,,,,
23,Y Aur,3.859502,9.607,0.911,0.394,0.82,-2.91,1816,137,8.5,,
24,RT Aur,3.72819,5.446,0.595,0.051,0.803,-2.86,426,66,21,35.1,
25,RX Aur,11.623537,7.655,1.009,0.276,0.664,-4.29,1652,-37,-23.3,63.4,
26,SY Aur,10.144698,9.074,1,0.454,0.638,-4.12,2277,85,-3.5,61.6,
27,YZ Aur,18.193212,10.332,1.375,0.565,0.834,-4.86,4876,80,,,
