ID,STAR,RA h,RA m,RA s,Dec d,Dec m,l,b

1,U Aql,19,26,39.9,-7,8,30.91,-11.62
2,SZ Aql,19,2,7,1,13,35.6,-2.34
3,TT Aql,19,5,41.4,1,13,36,-3.14
4,FF Aql,18,56,1.2,17,17,49.2,6.36
5,FM Aql,19,6,54,10,28,44.34,0.89
6,FN Aql,19,10,17.4,3,28,38.54,-3.11
7,IU Aql,19,11,59,-1,2,34.73,-5.58
8,V336 Aql,18,58,47,0,4,34.19,-2.14
9,V493 Aql,18,54,51,0,46,32.99,-1.65
10,V496 Aql,19,5,38.6,-7,31,28.2,-7.13
11,V526 Aql,19,12,10,-6,23,41.35,-2.16
12,V600 Aql,19,18,38,8,25,43.89,-2.63
13,V800 Aql,18,54,10,10,44,43.14,3.79
14,V912 Aql,18,45,44,0,45,33.3,1.08
15,V916 Aql,19,7,41,12,27,46.19,1.64
16,V1162Aql,19,49,35.2,-11,29,29.42,-18.6
17,V1183Aql,18,53,38,11,56,44.14,4.45
18,V1344Aql,19,9,30.2,4,16,39.15,-2.57
19,V1359Aql,20,1,3,-3,31,38.27,-17.59
20,Eta Aql,19,49,55.5,0,52,40.94,-13.07
21,V340 Ara,16,41,29,-51,14,335.19,-3.75
22,V475 Ara,17,3,53,-59,15,330.85,-11.22
23,Y Aur,5,25,5,42,23,166.75,4.33
24,RT Aur,6,25,21.25,30,31,183.15,8.92
25,RX Aur,4,57,55.45,39,53,165.77,-1.28
26,SY Aur,5,9,5.02,42,46,164.75,2.14
27,YZ Aur,5,11,53,40,1,167.28,0.94
28,AN Aur,4,56,12,40,45,164.88,-0.99
29,AO Aur,5,44,29,31,59,177.61,1.99
30,AS Aur,6,2,14,28,47,182.31,3.67
31,AX Aur,5,43,36,31,34,177.86,1.61
32,BK Aur,5,6,49.76,49,37,158.99,5.89
33,CO Aur,5,57,7.45,35,18,176.08,5.93
34,CY Aur,4,54,0,46,1,160.53,1.98
35,ER Aur,5,9,38,41,57,165.47,1.73
36,EV Aur,4,47,50,42,42,162.4,-0.98
37,EW Aur,4,48,2,38,6,165.95,-3.98
38,FF Aur,4,51,45,39,54,165.02,-2.19
39,GV Aur,5,40,50,37,34,172.46,4.26
40,IN Aur,5,12,2,37,18,169.49,-0.63
41,V335 Aur,5,38,58,37,37,172.22,3.98
42,RW Cam,3,50,15.21,58,30,144.85,3.8
43,RX Cam,4,0,49.26,58,31,145.9,4.7
44,TV Cam,4,3,17,60,11,145.02,6.15
45,AB Cam,3,42,3,58,37,143.94,3.23
46,AC Cam,3,19,46,59,11,141.26,2.03
47,AD Cam,3,25,20,60,16,141.25,3.32
48,AM Cam,3,32,2,62,7,140.85,5.3
49,RW CMa,7,10,59,-18,38,232.05,-3.82
50,RY CMa,7,14,16.71,-11,23,226.01,0.28
51,RZ CMa,7,19,17,-16,35,231.15,-1.1
52,SS CMa,7,24,2,-25,9,239.23,-4.2
53,TV CMa,7,7,0,-13,42,227.21,-2.37
