Mass	Teff	LogL	Rstar	BC_v	Mv	LogQ	t_KH(kyr)
6	19000	3.01	3.0	-1.83	-0.95	43.33	367.1
9	22895	3.57	3.9	-2.28	-1.89	44.76	175.5
12	26743	3.96	4.5	-2.64	-2.52	46.02	107.8
15	29783	4.26	5.1	-2.88	-3.01	47.03	76.2
20	33824	4.61	6.0	-3.22	-3.56	48.00	51.8
25	36831	4.86	6.7	-3.47	-3.93	48.46	40.2
30	38670	5.02	7.3	-3.61	-4.19	48.69	36.7
35	40596	5.18	8.0	-3.75	-4.45	48.90	31.7
40	42610	5.34	8.7	-3.89	-4.71	49.09	26.3
50	44589	5.52	9.8	-4.03	-5.02	49.31	24.1
60	46647	5.70	11.0	-4.18	-5.33	49.43	20.4
70	47662	5.81	12.0	-4.25	-5.53	49.51	19.7
80	48694	5.92	13.1	-4.32	-5.74	49.58	18.2
90	49449	6.02	14.1	-4.37	-5.92	49.65	17.4
100	49913	6.09	15.0	-4.41	-6.06	49.70	17.0
110	50381	6.16	16.0	-4.44	-6.21	49.76	16.4
120	50853	6.23	17.1	-4.47	-6.36	49.81	15.5
